"","Transmitted","Untransmitted","Burden_OR","Burden_Pval","MIRAGE-VS_eta","MIRAGE-VS_Pval"
"PLI>=0.995&0.0001<AF&ID gene",NA,NA,NA,NA,NA,NA
"PLI>=0.995&0.0001<AF&High",NA,NA,NA,NA,NA,NA
"PLI>=0.995&0.0001<AF&Mod",NA,NA,NA,NA,NA,NA
"PLI>=0.995&0.0001<AF&PSD",NA,NA,NA,NA,NA,NA
"PLI>=0.995&0.0001<AF&FMRP",NA,NA,NA,NA,NA,NA
"PLI>=0.995&0.0001<AF&AutismKB",NA,NA,NA,NA,NA,NA
"PLI>=0.995&0.0001<AF&constraint gene",NA,NA,NA,NA,NA,NA
"PLI>=0.995&0.0001<AF&RVIS",NA,NA,NA,NA,NA,NA
"PLI>=0.995&0.0001<AF&Haploinsuff",NA,NA,NA,NA,NA,NA
"PLI>=0.995&0.0001<AF&SCZ gene",NA,NA,NA,NA,NA,NA
"PLI>=0.995&0.00001<AF<=0.0001&ID gene",0,2,0,1,4.96080811139492e-05,1
"PLI>=0.995&0.00001<AF<=0.0001&High",1,1,1,0.75,0.00859171562433492,1
"PLI>=0.995&0.00001<AF<=0.0001&Mod",1,1,1,0.75,0.00992688767134741,1
"PLI>=0.995&0.00001<AF<=0.0001&PSD",3,5,0.6,0.85546875,0.000151791504882263,1
"PLI>=0.995&0.00001<AF<=0.0001&FMRP",7,10,0.7,0.833847045898437,0.000236230885494681,1
"PLI>=0.995&0.00001<AF<=0.0001&AutismKB",0,1,0,1,4.96080811139492e-05,1
"PLI>=0.995&0.00001<AF<=0.0001&constraint gene",7,8,0.875,0.696380615234375,0.000692688648263669,1
"PLI>=0.995&0.00001<AF<=0.0001&RVIS",7,14,0.5,0.960823059082031,0.000140003675769424,1
"PLI>=0.995&0.00001<AF<=0.0001&Haploinsuff",13,19,0.684210526315789,0.892336425138638,0.000269044582528227,1
"PLI>=0.995&0.00001<AF<=0.0001&SCZ gene",7,12,0.583333333333333,0.916465759277344,0.000177845055038747,1
"PLI>=0.995&AF<=0.00001&ID gene",16,7,2.28571428571429,0.04656982421875,0.874438582106797,0.0595778527466993
"PLI>=0.995&AF<=0.00001&High",25,12,2.08333333333333,0.0235155137197581,0.769726924150216,0.0287404598219297
"PLI>=0.995&AF<=0.00001&Mod",36,23,1.56521739130435,0.0587386751225293,0.498553653700286,0.0745807980724312
"PLI>=0.995&AF<=0.00001&PSD",92,57,1.6140350877193,0.00258606176087347,0.537375238423811,0.00252438719466567
"PLI>=0.995&AF<=0.00001&FMRP",199,144,1.38194444444444,0.00174406264298085,0.355344912899301,0.00286329929145598
"PLI>=0.995&AF<=0.00001&AutismKB",14,12,1.16666666666667,0.422509491443634,0.169061299143475,0.694749399791111
"PLI>=0.995&AF<=0.00001&constraint gene",183,123,1.48780487804878,0.000359191820410721,0.440615252355903,0.00051401482341038
"PLI>=0.995&AF<=0.00001&RVIS",271,184,1.47282608695652,2.63684187086083e-05,0.424196367994878,4.42219163384661e-05
"PLI>=0.995&AF<=0.00001&Haploinsuff",432,335,1.28955223880597,0.000259714942552643,0.287712791810578,0.000272709645189953
"PLI>=0.995&AF<=0.00001&SCZ gene",268,202,1.32673267326733,0.00133884837461647,0.315520729693542,0.0019435658401885
"0.5<=pLI<0.995&0.0001<AF&ID gene",NA,NA,NA,NA,NA,NA
"0.5<=pLI<0.995&0.0001<AF&High",NA,NA,NA,NA,NA,NA
"0.5<=pLI<0.995&0.0001<AF&Mod",NA,NA,NA,NA,NA,NA
"0.5<=pLI<0.995&0.0001<AF&PSD",NA,NA,NA,NA,NA,NA
"0.5<=pLI<0.995&0.0001<AF&FMRP",NA,NA,NA,NA,NA,NA
"0.5<=pLI<0.995&0.0001<AF&AutismKB",NA,NA,NA,NA,NA,NA
"0.5<=pLI<0.995&0.0001<AF&constraint gene",NA,NA,NA,NA,NA,NA
"0.5<=pLI<0.995&0.0001<AF&RVIS",NA,NA,NA,NA,NA,NA
"0.5<=pLI<0.995&0.0001<AF&Haploinsuff",NA,NA,NA,NA,NA,NA
"0.5<=pLI<0.995&0.0001<AF&SCZ gene",NA,NA,NA,NA,NA,NA
"0.5<=pLI<0.995&0.00001<AF<=0.0001&ID gene",0,2,0,1,4.48910118429674e-05,1
"0.5<=pLI<0.995&0.00001<AF<=0.0001&High",NA,NA,NA,NA,NA,NA
"0.5<=pLI<0.995&0.00001<AF<=0.0001&Mod",4,0,Inf,0.0625,0.999979751107217,0.0826892888402777
"0.5<=pLI<0.995&0.00001<AF<=0.0001&PSD",8,3,2.66666666666667,0.11328125,0.999569432584195,0.131830415216598
"0.5<=pLI<0.995&0.00001<AF<=0.0001&FMRP",3,6,0.5,0.91015625,0.000132896660307334,1
"0.5<=pLI<0.995&0.00001<AF<=0.0001&AutismKB",NA,NA,NA,NA,NA,NA
"0.5<=pLI<0.995&0.00001<AF<=0.0001&constraint gene",5,3,1.66666666666667,0.36328125,0.532248337641272,0.549254793999982
"0.5<=pLI<0.995&0.00001<AF<=0.0001&RVIS",7,13,0.538461538461538,0.942340850830078,0.000139177686319269,1
"0.5<=pLI<0.995&0.00001<AF<=0.0001&Haploinsuff",13,13,1,0.577490508556366,0.0719900816047402,0.856599860062783
"0.5<=pLI<0.995&0.00001<AF<=0.0001&SCZ gene",12,9,1.33333333333333,0.331811904907227,0.318294559037873,0.546945643155239
"0.5<=pLI<0.995&AF<=0.00001&ID gene",18,19,0.947368421052632,0.628585320635466,0.0451794427172848,0.901110199181745
"0.5<=pLI<0.995&AF<=0.00001&High",6,6,1,0.61279296875,0.073187441627164,0.897529582326032
"0.5<=pLI<0.995&AF<=0.00001&Mod",25,16,1.5625,0.1055117988044,0.497649770146297,0.151753817572897
"0.5<=pLI<0.995&AF<=0.00001&PSD",67,64,1.046875,0.430684465525578,0.0628507626168691,0.746744530566154
"0.5<=pLI<0.995&AF<=0.00001&FMRP",82,85,0.964705882352941,0.621486916408019,0.0323782222851053,0.854000641645268
"0.5<=pLI<0.995&AF<=0.00001&AutismKB",14,10,1.4,0.270628094673157,0.368256034289625,0.413125856392771
"0.5<=pLI<0.995&AF<=0.00001&constraint gene",61,74,0.824324324324324,0.885948260966994,0.000318104015501411,1
"0.5<=pLI<0.995&AF<=0.00001&RVIS",110,106,1.0377358490566,0.419157934816583,0.04472151229965,0.774605506945531
"0.5<=pLI<0.995&AF<=0.00001&Haploinsuff",196,231,0.848484848484849,0.959320525232111,0.000422438796978841,1
"0.5<=pLI<0.995&AF<=0.00001&SCZ gene",159,177,0.898305084745763,0.850027918829602,0.00106538072016969,1
"pLI<0.5&0.0001<AF&ID gene",NA,NA,NA,NA,NA,NA
"pLI<0.5&0.0001<AF&High",NA,NA,NA,NA,NA,NA
"pLI<0.5&0.0001<AF&Mod",NA,NA,NA,NA,NA,NA
"pLI<0.5&0.0001<AF&PSD",NA,NA,NA,NA,NA,NA
"pLI<0.5&0.0001<AF&FMRP",NA,NA,NA,NA,NA,NA
"pLI<0.5&0.0001<AF&AutismKB",NA,NA,NA,NA,NA,NA
"pLI<0.5&0.0001<AF&constraint gene",0,1,0,1,7.33128040045508e-06,1
"pLI<0.5&0.0001<AF&RVIS",NA,NA,NA,NA,NA,NA
"pLI<0.5&0.0001<AF&Haploinsuff",3,1,3,0.3125,0.999940918544562,0.337154444157636
"pLI<0.5&0.0001<AF&SCZ gene",3,1,3,0.3125,0.99996718502921,0.337148999389025
"pLI<0.5&0.00001<AF<=0.0001&ID gene",60,50,1.2,0.195463728349752,0.225973246050172,0.26879415727996
"pLI<0.5&0.00001<AF<=0.0001&High",10,8,1.25,0.407264709472656,0.329558911475355,0.425539232512452
"pLI<0.5&0.00001<AF<=0.0001&Mod",36,41,0.878048780487805,0.752808863152249,0.000355536602390116,1
"pLI<0.5&0.00001<AF<=0.0001&PSD",39,52,0.75,0.929103312727626,0.000200872387423502,1
"pLI<0.5&0.00001<AF<=0.0001&FMRP",41,46,0.891304347826087,0.739854203212463,0.0627063530043567,0.783535575860066
"pLI<0.5&0.00001<AF<=0.0001&AutismKB",26,30,0.866666666666667,0.747798119988587,0.000420262052958425,1
"pLI<0.5&0.00001<AF<=0.0001&constraint gene",30,28,1.07142857142857,0.447841606944796,0.141779039113334,0.587716255661377
"pLI<0.5&0.00001<AF<=0.0001&RVIS",162,188,0.861702127659575,0.925571767070721,0.000457609409373855,1
"pLI<0.5&0.00001<AF<=0.0001&Haploinsuff",236,285,0.828070175438596,0.985805715353921,0.000324545400900577,1
