"","Burden.OR","Burden.pvalue","MIRAGE.risk.prop","MIRAGE.pvalue","cate.index","No.var.case","No.var.control","combine.feature"
"1",1.7,0.00163983934524422,0.439853249590606,0.000221605465731657,"LoF; AF<1%",85,50,"ExonTop90%_FMRP_cate_2"
"2",1.12367491166078,0.0232619155987728,0.0767196950560568,0.369999816783216,"Non-damaging; 0.1%<AF<1%",636,566,"ExonTop90%_AutismKB_cate_7"
"3",1.0663357400722,0.0154745441725598,0.0557349153129631,0.00440204575160565,"Damaging; AF<0.1%",2363,2216,"ExonTop90%_constraintgene_cate_5"
"4",1.39516129032258,0.00263074709651615,0.258798942526582,0.0200808368224798,"LoF; AF<1%",173,124,"ExonTop90%_RVIS_cate_2"
"5",1.06845238095238,0.0169316834368098,0,1,"Damaging; 1%<AF<5%",2154,2016,"ExonTop90%_RVIS_cate_3"
"6",1.06128702757916,0.0107046719480037,0.0496531084311786,0.0025758987733952,"Damaging; AF<0.1%",3117,2937,"ExonTop90%_RVIS_cate_5"
"7",1.43165467625899,0.00064856144092581,0.298239000652437,0.00368937847068944,"LoF; AF<1%",199,139,"ExonTop90%_Haploinsuff_cate_2"
"8",1.04612684883429,0.0213998184375797,0.029732992237534,0.0419803036340204,"Damaging; AF<0.1%",4173,3989,"ExonTop90%_Haploinsuff_cate_5"
"9",1.18421052631579,0.102451796127859,0.201040446660966,0.0207086743425996,"LoF; AF<1%",135,114,"ExonTop90%_SCZgene_cate_2"
"10",1.92307692307692,0.0364756942581153,0.505743586819421,0.0286980362964851,"LoF; AF<1%",25,13,"ExonTop80%_High_cate_2"
"11",1.40740740740741,0.0325432349943187,0.257730075179199,0.0520787485451617,"LoF; AF<1%",76,54,"ExonTop80%_PSD_cate_2"
"12",1.66666666666667,0.000249713243208876,0.405515018341614,3.2456543897942e-05,"LoF; AF<1%",125,75,"ExonTop80%_FMRP_cate_2"
"13",1.11372064276885,0.0138671709894213,0.0997860505002769,0.160226824056007,"Non-damaging; 0.1%<AF<1%",901,809,"ExonTop80%_AutismKB_cate_7"
"14",1.01885043263288,0.228946080402181,0.0376819535570694,0.0101125456874017,"Damaging; AF<0.1%",3297,3236,"ExonTop80%_constraintgene_cate_5"
"15",1.32828282828283,0.00141763637966276,0.199013688484965,0.0115336205789362,"LoF; AF<1%",263,198,"ExonTop80%_RVIS_cate_2"
"16",1.049766718507,0.0401314668549464,0,1,"Damaging; 1%<AF<5%",2700,2572,"ExonTop80%_RVIS_cate_3"
"17",1.03043815432338,0.0637067407129734,0.0332744401849993,0.00506569316359562,"Damaging; AF<0.1%",5315,5158,"ExonTop80%_RVIS_cate_5"
